2. Optimizing matrix-matrix multiplication.
I am using CIMS snappy1 machine which has Two Intel Xeon E5-2680 (2.80 GHz) (20 cores), 128 GB Memory, 25600 KB cache size.

JPI
 Dimension       Time    Gflop/s       GB/s        Error
       768   0.537582   5.055804  10.111609 0.000000e+00
       896   0.536151   5.366571  10.733142 0.000000e+00
      1024   0.486888   4.410636   8.821272 0.000000e+00
      1152   0.566470   5.397724  10.795449 0.000000e+00
      1280   0.825432   5.081343  10.162685 0.000000e+00
      1408   1.031807   5.410527  10.821053 0.000000e+00
      1536   1.627896   4.452224   8.904448 0.000000e+00
      1664   1.694479   5.438183  10.876366 0.000000e+00
      1792   2.248871   5.117756  10.235511 0.000000e+00
      1920   2.563743   5.521528  11.043056 0.000000e+00

The optimal value for BLOCK_SIZE is 96, but 100 is very similar to 96.


The peak flop-rate is 2.8 GHz * 16 flops/cycle * 20 cores = 896 GFLOPS
To avoid massive time of creating threads, I tested openmp version of code for BLOCK_SIZE = 32 instead of 16

 Dimension       Time    Gflop/s       GB/s        Error
        32  99.622323   0.020076   0.040152 0.000000e+00
        64  12.517830   0.159785   0.319570 0.000000e+00
        96   3.794591   0.527401   1.054803 0.000000e+00
       128   1.665409   1.201317   2.402633 0.000000e+00
       160   0.818825   2.451122   4.902244 0.000000e+00
       192   0.534993   3.757282   7.514564 0.000000e+00
       224   0.342824   5.835696  11.671392 0.000000e+00
       256   0.240364   8.375888  16.751775 0.000000e+00
       288   0.172071  11.661363  23.322726 0.000000e+00
       320   0.134843  15.066522  30.133044 0.000000e+00
       352   0.105488  19.018787  38.037574 0.000000e+00
       384   0.094338  21.607663  43.215327 0.000000e+00
       416   0.073472  27.435679  54.871358 0.000000e+00
       448   0.067403  32.016134  64.032267 0.000000e+00
       480   0.065421  33.809342  67.618684 0.000000e+00
       512   0.056622  37.926817  75.853635 0.000000e+00
       544   0.066578  33.852720  67.705440 0.000000e+00
       576   0.063175  36.299515  72.599031 0.000000e+00
       608   0.056336  39.895907  79.791813 0.000000e+00
       640   0.052589  39.877779  79.755557 0.000000e+00
       672   0.057676  42.092594  84.185188 0.000000e+00
       704   0.044695  46.839021  93.678042 0.000000e+00
       736   0.060456  39.568248  79.136496 0.000000e+00
       768   0.067950  39.998771  79.997541 0.000000e+00
       800   0.043584  46.990147  93.980294 0.000000e+00
       832   0.048746  47.259483  94.518965 0.000000e+00
       864   0.057359  44.977565  89.955130 0.000000e+00
       896   0.063279  45.469659  90.939318 0.000000e+00
       928   0.066937  47.756773  95.513545 0.000000e+00
       960   0.068889  51.371965 102.743931 0.000000e+00
       992   0.078435  49.783423  99.566847 0.000000e+00
      1024   0.047916  44.817742  89.635484 0.000000e+00
      1056   0.040509  58.139955 116.279909 0.000000e+00
      1088   0.043621  59.050136 118.100273 0.000000e+00
      1120   0.048486  57.951743 115.903487 0.000000e+00
      1152   0.050520  60.523529 121.047059 0.000000e+00
      1184   0.056823  58.420187 116.840375 0.000000e+00
      1216   0.059056  60.892949 121.785898 0.000000e+00
      1248   0.067951  57.210882 114.421763 0.000000e+00
      1280   0.069331  60.496749 120.993499 0.000000e+00
      1312   0.073304  61.617675 123.235350 0.000000e+00
      1344   0.068610  70.768720 141.537439 0.000000e+00
      1376   0.072282  72.086677 144.173353 0.000000e+00
      1408   0.073114  76.355337 152.710674 0.000000e+00
      1440   0.103188  57.874815 115.749630 0.000000e+00
      1472   0.108068  59.027861 118.055722 0.000000e+00
      1504   0.110723  61.451897 122.903793 0.000000e+00
      1536   0.129406  56.007704 112.015409 0.000000e+00
      1568   0.129016  59.762157 119.524313 0.000000e+00
      1600   0.126041  64.994692 129.989384 0.000000e+00
      1632   0.131260  66.230690 132.461380 0.000000e+00
      1664   0.138211  66.672472 133.344944 0.000000e+00
      1696   0.154994  62.949624 125.899247 0.000000e+00
      1728   0.151177  68.261627 136.523254 0.000000e+00
      1760   0.154861  70.408652 140.817304 0.000000e+00
      1792   0.179810  64.007328 128.014656 0.000000e+00
      1824   0.193963  62.572823 125.145645 0.000000e+00
      1856   0.197620  64.704312 129.408624 0.000000e+00
      1888   0.201513  66.793177 133.586354 0.000000e+00
      1920   0.204050  69.374115 138.748230 0.000000e+00
      1952   0.214888  69.223981 138.447961 0.000000e+00
      1984   0.225490  69.267323 138.534645 0.000000e+00

76.355337 / 896 * 100 = 8.5218 % of the peak FLOP-rate is achieved with my code.

4. OpenMP version of 2D Jacobi/Gauss-Seidel smoothing.
I am using CIMS snappy1 machine which has Two Intel Xeon E5-2680 (2.80 GHz) (20 cores), 128 GB Memory, 25600 KB cache size.
S means compling without OpenMP compilers, P means compling with OpenMP compilers.

Serial, Iteration number = 100

Gridsize  Jacobi time (S)    GS time (S)
100          0.0102            0.0096
1000         0.8568            0.8325
5000        21.0040            20.3647


Thread number = 4, Iteration number = 100

Gridsize  Jacobi time (P)    GS time (P)

100          0.0042            0.0041
1000         0.2196            0.2230
5000         5.3698            5.5069


Thread number = 10, Iteration number = 100

Gridsize  Jacobi time (P)    GS time (P)

100          0.0059            0.0058
1000         0.0959            0.0951
5000         2.2052            2.5235


